track,artist,year,songHotness,artistFamiliarity,artistHotness,tempo,loudness,timeSignature,timeSignatureConfidence,key,keyConfidence,mode,modeConfidence,meanSegmentTimbre_1,meanSegmentTimbre_2,meanSegmentTimbre_3,meanSegmentTimbre_4,meanSegmentTimbre_5,meanSegmentTimbre_6,meanSegmentTimbre_7,meanSegmentTimbre_8,meanSegmentTimbre_9,meanSegmentTimbre_10,meanSegmentTimbre_11,meanSegmentTimbre_12,mood
1492,Scarlet's Remains,2005,0.480329369,0.527865076,0.393121934,170.702,-8.039,4,0,0,0.599,1,0.464,48.81835456,34.09218244,9.484900172,-18.47099312,-26.76646127,-25.79970568,-9.299924269,0.71524957,16.09305164,10.24369535,-1.627153184,-0.370247849,angry
3,Britney Spears,2009,NaN,0.947327507,0.60725728,131.999,-6.278,5,1,1,0.309,1,0.409,46.62721544,14.99467148,-32.78636154,24.12126083,-10.09894841,-27.99168469,12.57993232,13.03061535,1.277525794,7.914642592,8.166654973,4.393197276,excited
6TH Avenue Nightmare,Pennywise,2005,NaN,0.816998189,0.512229189,200.877,-5.111,4,0,9,0.053,1,0.217,51.2027611,57.10446095,21.55125881,-4.6588683,-16.92533384,-24.97035375,-0.425289433,-2.649019908,4.413961715,8.586961715,-1.523460949,-7.412026034,excited
A Fall Song,Cross Country,2009,0.212045405,0.375195664,0.355707867,129.169,-11.724,4,0.74,9,0.781,1,0.521,40.38922128,-28.14775532,-12.3480383,-24.12940851,-21.24485106,-8.162044681,-14.81427872,-6.644438298,15.25890851,2.010770213,-0.351880851,18.28845319,calm
A Talk With Dad,Speech,2003,0,0.596275994,0.341959997,73.11,-22.033,5,0.814,1,0,0,0,27.02996029,-20.01733676,54.59571176,24.38863676,-50.08426471,27.44113529,-46.79941324,12.32880294,-32.84059412,0.236398529,0.297869118,25.66253088,calm
Acension Final Chord Rising,Terry Riley,2002,NaN,0.60981436,0.409762631,128.135,-37.065,4,0.65,2,0.036,1,0.211,17.40618462,-112.8344769,29.09646154,-16.96992308,115.1665692,-51.42318462,15.23536923,11.45636923,-38.84595385,-7.684246154,-0.729138462,-27.96561538,calm
Adrift,Jack Johnson,2008,0.737850332,0.832011771,0.643072293,241.818,-15.967,4,0.359,0,1,1,0.963,35.08225037,-81.20287406,-21.84917991,-12.02061619,-4.493358321,-1.299664168,4.485442279,-8.885233883,-1.011521739,-6.860674663,-4.311658171,4.533016492,calm
Affliction,AFI,2006,0.836930122,0.909247283,0.554938522,113.471,-5.711,5,0.576,4,0.093,1,0.332,47.92822689,1.524164916,20.61973529,-2.360043067,-23.04271534,-22.65178992,6.047514706,0.116639706,1.545265756,-0.873337185,2.101742647,4.440447479,excited
After One Quarter Of A Revolution,Every Time I Die,2009,0.656917227,0.842423318,0.56485575,114.638,-3.988,1,0.341,7,0.099,1,0.452,52.15524155,28.11049275,24.95718116,-9.638917874,-1.562137681,-28.49427536,4.366086957,2.510582126,7.354702899,5.202398551,-2.593806763,-2.033193237,angry
Ain't Gone 'N' Give Up On Love,Stevie Ray Vaughan And Double Trouble,2005,NaN,0.78303711,0.544257506,150.582,-12.077,3,1,1,0.572,1,0.532,39.70249763,-23.87105393,-24.20791391,-11.86108325,-32.24462441,-11.90794324,2.044701987,-3.923425733,15.53784484,2.051519395,-0.586883633,10.07484957,calm
Ain't It Funny,Jennifer Lopez,2001,NaN,0.816842854,0.567889145,99.831,-4.821,4,0.884,2,0.542,1,0.484,47.66540198,40.25828119,-1.154030693,-3.509479208,0.049337624,-11.32394059,1.236069307,5.974656436,5.742308911,5.529123762,-0.402133663,9.444732673,happy
Ain't That Something,High Strung_ The,2003,NaN,0.59994467,0.396800219,120.944,-2.694,4,0.688,9,0.795,1,0.582,53.73707643,35.26336093,25.97096603,-4.313286624,-21.1667431,-13.04748832,-12.37415499,-0.453146497,9.684723992,-1.086312102,-0.38718896,-6.419768577,happy
All I Can Do,Kane,2005,NaN,0.58893851,0.377961532,89.975,-10.262,3,1,3,0.116,1,0.341,36.77457996,-45.25656716,-18.93227505,-21.07701066,-12.74464179,-14.7638209,0.806539446,-2.901950959,-3.318829424,-3.913223881,-4.897144989,-4.86854371,sad
All Of This,Blink-182,2003,0.724133953,0.851351443,0.582346374,117.574,-5.342,4,0.956,9,0.501,1,0.6,47.43275311,-0.990396376,-13.73216082,2.272294451,-15.40666025,-6.868138165,8.428663647,-14.17310985,17.35560589,-4.811202718,-1.641775764,-2.194870895,sad
All That's Left,Thrice,2003,0.896789016,0.873238653,0.519965479,182.977,-2.87,4,0.472,7,0.663,0,0.639,51.37826023,52.48888158,32.1685848,12.88575877,-36.81937427,-17.68455117,-5.695054094,0.602752924,12.64953801,6.843076023,5.351887427,4.552777778,excited
Ambulance Man,Memphis Jug Band,2001,NaN,0.506126774,0.350787891,97.754,-15.963,1,0,10,0.977,1,0.858,36.11808478,-75.02558043,24.66967174,-17.2763,-48.3453087,21.13904565,-32.48558478,7.91803913,7.97833913,13.51133478,-5.569023913,2.409184783,sad
